face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z
185.0,81.0,100.0,66.0,-0.2242593777923469,-0.3759279388455289,1.649,-1.0,-1.0,-1.0,-1.0,,,,94.0,57.0,421.0,239.0,-0.04894107048813928,-0.4701117844864174,3.998,2.8235
185.0,127.0,79.0,50.0,-1.4381331548452925,-1.4805276175124458,9.235,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,9.235
433.0,164.0,53.0,40.0,2.217242275379894,-0.8621932762087496,8.343,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,8.343
572.0,150.0,66.0,54.0,3.2897163574887562,-0.7220523516875017,6.235,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.235
239.0,148.0,64.0,49.0,-0.17085804594453044,-0.29830261667484337,2.392,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.392
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,142.0,146.0,332.0,154.0,-0.014416009145030469,-0.09646433394493767,2.845,2.845
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,480.0,160.0,316.0,135.0,1.726390512953604,-0.07880119851225009,2.9419999999999997,2.9419999999999997
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,500.0,189.0,288.0,123.0,2.2582164355562515,0.053529300629442916,3.779,3.779
568.0,166.0,51.0,45.0,3.1555220154167207,-0.5999416922357801,6.235,-1.0,-1.0,-1.0,-1.0,,,,495.0,147.0,331.0,143.0,4.29180666688755,-0.2933684349220725,6.853,6.5440000000000005
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,401.0,111.0,367.0,209.0,0.9759925433287068,-0.09591488885789916,1.992,1.992
529.0,154.0,60.0,48.0,0.8715391544214346,-0.22326267958648305,1.9580000000000002,-1.0,-1.0,-1.0,-1.0,,,,448.0,124.0,354.0,190.0,1.1157144693930157,-0.08123609797694267,1.98,1.969
563.0,156.0,60.0,49.0,0.9691779726580624,-0.21154052707949375,1.915,-1.0,-1.0,-1.0,-1.0,,,,466.0,131.0,347.0,171.0,1.1524827756746234,-0.09079170917245813,1.9580000000000002,1.9365
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,462.0,124.0,354.0,174.0,1.1460081533393731,-0.1076141106904739,1.9469999999999998,1.9469999999999998
541.0,156.0,56.0,50.0,0.8816522634712312,-0.20693547672754573,1.904,-1.0,-1.0,-1.0,-1.0,,,,461.0,122.0,356.0,176.0,1.1460081533393731,-0.1110806041504506,1.9469999999999998,1.9255
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,465.0,123.0,355.0,172.0,1.18974738377306,-0.11784172394128704,2.003,2.003
553.0,156.0,57.0,49.0,3.076569269938317,-0.7013424576645985,6.349,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.349
488.0,156.0,59.0,48.0,0.8604953083984619,-0.2570521182840637,2.327,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.327
-1.0,-1.0,-1.0,-1.0,,,,323.0,163.0,299.0,138.0,0.6111089942678051,-0.03780417017845719,2.114,-1.0,-1.0,-1.0,-1.0,,,,2.114
290.0,157.0,58.0,43.0,0.14305760571391138,-1.112550543782081,9.757,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,9.757
422.0,145.0,70.0,53.0,0.36311052691175255,-0.17518709860760945,1.385,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.385
462.0,130.0,79.0,61.0,2.653342324152776,-1.136306446299072,7.779,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,7.779
542.0,114.0,90.0,72.0,0.6696953311311485,-0.22156287944772432,1.3519999999999999,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.3519999999999999
515.0,134.0,78.0,67.0,0.7192100682714702,-0.22032386646669802,1.649,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.649
514.0,135.0,78.0,64.0,0.7232021743655243,-0.22246163594120813,1.665,-1.0,-1.0,-1.0,-1.0,,,,438.0,98.0,378.0,196.0,0.9532602716088104,-0.13780531723882852,1.681,1.673
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,455.0,114.0,364.0,181.0,0.9787299370504244,-0.11332024247300974,1.673,1.673
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,455.0,111.0,367.0,181.0,0.9817305670195036,-0.12225621097615462,1.673,1.673
517.0,138.0,74.0,64.0,0.7296776496168403,-0.21459455217531828,1.673,-1.0,-1.0,-1.0,-1.0,,,,421.0,106.0,369.0,214.0,0.8869307452988932,-0.08692602416961734,1.681,1.6769999999999998
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,432.0,108.0,367.0,196.0,0.9219905387715768,-0.1084538863912193,1.69,1.69
501.0,136.0,72.0,57.0,0.6819122094318762,-0.23357810419263786,1.681,-1.0,-1.0,-1.0,-1.0,,,,430.0,111.0,364.0,198.0,0.9172185839355668,-0.09687461009114798,1.6980000000000002,1.6895
498.0,131.0,73.0,53.0,0.6448478158571392,-0.24392936023603834,1.611,-1.0,-1.0,-1.0,-1.0,,,,426.0,111.0,364.0,199.0,0.8709246057534971,-0.0932232702526124,1.634,1.6225
488.0,133.0,72.0,58.0,0.5830720828334146,-0.217331917103098,1.525,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.525
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,287.0,147.0,331.0,147.0,1.7015433349787417,-0.2637459164769356,6.72,6.72
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,171.0,143.0,329.0,155.0,0.07865331207930754,-0.07119569828707757,1.814,1.814
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,218.0,117.0,361.0,172.0,0.2406280079281989,-0.10698386432042756,1.5390000000000001,1.5390000000000001
360.0,132.0,74.0,54.0,,,,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,
-1.0,-1.0,-1.0,-1.0,,,,322.0,167.0,304.0,189.0,0.4205584944734253,0.048498242443305084,1.4369999999999998,-1.0,-1.0,-1.0,-1.0,,,,1.4369999999999998
498.0,124.0,76.0,60.0,2.8238247703123136,-1.096039050570492,6.992000000000001,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.992000000000001
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,340.0,115.0,363.0,192.0,0.7463840908916323,-0.10943807866827854,1.98,1.98
-1.0,-1.0,-1.0,-1.0,,,,373.0,166.0,297.0,165.0,0.7595777490639591,0.021367224893301524,2.015,365.0,125.0,353.0,177.0,0.8417663054263909,-0.1054385266400058,2.039,2.0269999999999997
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,288.0,140.0,338.0,159.0,0.5752090224147185,-0.09001616109162232,2.194,2.194
272.0,154.0,60.0,46.0,-0.03285999341256793,-0.2404139025025266,2.076,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.076
241.0,156.0,57.0,46.0,-0.16458526605275733,-0.2462665288612963,2.194,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.194
258.0,155.0,57.0,43.0,-0.10726195915736546,-0.2832664554346622,2.4090000000000003,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.4090000000000003
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,359.0,167.0,311.0,103.0,2.35698269702422,-0.2768870621736415,6.468,6.468
275.0,138.0,69.0,49.0,-0.03194028196275907,-1.390496731262247,9.757,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,9.757
176.0,132.0,75.0,54.0,-0.3495074969035893,-0.2945252013629433,1.992,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.992
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,264.0,143.0,335.0,132.0,1.3684700762427435,-0.3735282602612239,6.349,6.349
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,236.0,155.0,314.0,221.0,0.3625687462665093,0.10054354336144798,2.46,2.46
-1.0,-1.0,-1.0,-1.0,,,,286.0,171.0,294.0,206.0,0.2526547765284239,0.06560017915415059,1.153,-1.0,-1.0,-1.0,-1.0,,,,1.153
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,229.0,70.0,408.0,254.0,0.22570201198983225,-0.08260368243659587,1.03,1.03
415.0,84.0,109.0,85.0,0.27802248667076856,-0.20247598032497366,0.98,299.0,141.0,335.0,263.0,0.2719144659020257,0.052107665428679235,0.977,-1.0,-1.0,-1.0,-1.0,,,,0.9785
477.0,59.0,122.0,101.0,2.0278897169427914,-1.1789289675590655,4.977,342.0,142.0,336.0,296.0,0.3815242834930125,0.0911880410825517,1.068,-1.0,-1.0,-1.0,-1.0,,,,3.0225
467.0,57.0,119.0,98.0,2.1361196401800946,-1.340669460335764,5.535,334.0,145.0,333.0,304.0,0.40342395552882016,0.11633777331560564,1.189,-1.0,-1.0,-1.0,-1.0,,,,3.362
352.0,74.0,113.0,82.0,0.21611849128676694,-0.28047913648269857,1.24,255.0,141.0,334.0,259.0,0.2528379067600314,0.06311279731497488,1.268,-1.0,-1.0,-1.0,-1.0,,,,1.254
292.0,88.0,101.0,72.0,0.299922613189919,-1.1273465124417612,5.364,227.0,138.0,340.0,247.0,0.19520917768521284,0.04262580390110948,1.263,-1.0,-1.0,-1.0,-1.0,,,,3.3135
-1.0,-1.0,-1.0,-1.0,,,,227.0,148.0,320.0,232.0,0.18621891347038164,0.0532809389749055,1.3630000000000002,-1.0,-1.0,-1.0,-1.0,,,,1.3630000000000002
-1.0,-1.0,-1.0,-1.0,,,,117.0,148.0,325.0,221.0,-0.07346253840378145,0.036561562630657816,1.287,-1.0,-1.0,-1.0,-1.0,,,,1.287
155.0,93.0,100.0,74.0,-0.2433288181092312,-0.2557416044047705,1.2819999999999998,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.2819999999999998
222.0,116.0,82.0,55.0,-0.15474251714224654,-0.3181189221406661,1.804,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.804
